Minimum values:
call_iv_24000    0.196625
call_iv_24100    0.202257
call_iv_24200    0.191321
call_iv_24300    0.181465
call_iv_24400    0.171288
call_iv_24500    0.163482
call_iv_24600    0.157886
call_iv_24700    0.153536
call_iv_24800    0.154145
call_iv_24900    0.156837
call_iv_25000    0.160462
call_iv_25100    0.165223
call_iv_25200    0.167516
call_iv_25300    0.170281
call_iv_25400    0.173472
call_iv_25500    0.176819
call_iv_25600    0.180035
call_iv_25700    0.182822
call_iv_25800    0.185609
call_iv_25900    0.188396
call_iv_26000    0.191183
call_iv_26100    0.192774
call_iv_26200    0.194111
call_iv_26300    0.195448
call_iv_26400    0.196785
call_iv_26500    0.198122
put_iv_23000     0.250115
put_iv_23100     0.249297
put_iv_23200     0.248479
put_iv_23300     0.247661
put_iv_23400     0.246843
put_iv_23500     0.246025
put_iv_23600     0.245207
put_iv_23700     0.244389
put_iv_23800     0.237367
put_iv_23900     0.210794
put_iv_24000     0.196625
put_iv_24100     0.202731
put_iv_24200     0.191321
put_iv_24300     0.181465
put_iv_24400     0.171288
put_iv_24500     0.163482
put_iv_24600     0.157886
put_iv_24700     0.153536
put_iv_24800     0.154231
put_iv_24900     0.156837
put_iv_25000     0.160462
put_iv_25100     0.165223
put_iv_25200     0.167516
put_iv_25300     0.170281
put_iv_25400     0.173472
put_iv_25500     0.176819

Maximum values:
call_iv_24000    0.353325
call_iv_24100    0.325091
call_iv_24200    0.299555
call_iv_24300    0.295364
call_iv_24400    0.282971
call_iv_24500    0.260690
call_iv_24600    0.252209
call_iv_24700    0.248195
call_iv_24800    0.245598
call_iv_24900    0.246120
call_iv_25000    0.251775
call_iv_25100    0.258499
call_iv_25200    0.266924
call_iv_25300    0.274844
call_iv_25400    0.286978
call_iv_25500    0.301280
call_iv_25600    0.314065
call_iv_25700    0.332326
call_iv_25800    0.350167
call_iv_25900    0.371312
call_iv_26000    0.393722
call_iv_26100    0.416132
call_iv_26200    0.438542
call_iv_26300    0.460952
call_iv_26400    0.483362
call_iv_26500    0.505772
put_iv_23000     0.640485
put_iv_23100     0.605988
put_iv_23200     0.571491
put_iv_23300     0.536994
put_iv_23400     0.502497
put_iv_23500     0.468000
put_iv_23600     0.433503
put_iv_23700     0.399102
put_iv_23800     0.380371
put_iv_23900     0.362860
put_iv_24000     0.353325
put_iv_24100     0.325091
put_iv_24200     0.299555
put_iv_24300     0.295364
put_iv_24400     0.282971
put_iv_24500     0.260690
put_iv_24600     0.252209
put_iv_24700     0.248195
put_iv_24800     0.245598
put_iv_24900     0.246120
put_iv_25000     0.251775
put_iv_25100     0.258499
put_iv_25200     0.266924
put_iv_25300     0.274844
put_iv_25400     0.316621
put_iv_25500     0.301280
